idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59679;3.0;1.0;DE;2.0;6.0;6.0;5.0;0;6.0;4.0;17.0;4.0;8.0;9.0;5.0;5.0;1;0
59694;1.0;1.0;DE;5.0;5.0;2.0;2.0;1;1.0;4.0;60.0;8.0;7.0;7.0;7.0;6.0;1;1
59712;1.0;1.0;DE;2.0;3.0;1.0;5.0;0;5.0;1.0;68.0;4.0;6.0;6.0;3.0;3.0;1;1
59713;3.0;1.0;DE;6.0;9.0;3.0;5.0;1;6.0;4.0;27.0;7.0;8.0;9.0;5.0;4.0;1;0
59728;3.0;2.0;DE;5.0;5.0;5.0;5.0;1;6.0;3.0;24.0;1.0;7.0;7.0;1.0;1.0;0;0
59730;3.0;1.0;DE;6.0;5.0;2.0;5.0;1;6.0;1.0;29.0;5.0;7.0;6.0;5.0;5.0;1;0
59732;3.0;2.0;DE;6.0;1.0;3.0;5.0;1;1.0;1.0;46.0;6.0;3.0;2.0;3.0;4.0;0;0
59736;1.0;1.0;DE;6.0;2.0;2.0;5.0;1;6.0;3.0;26.0;6.0;4.0;7.0;4.0;5.0;1;1
59740;1.0;1.0;DE;6.0;4.0;3.0;5.0;1;1.0;3.0;39.0;9.0;9.0;9.0;8.0;8.0;1;1
59743;1.0;1.0;DE;7.0;6.0;3.0;5.0;1;1.0;2.0;29.0;8.0;5.0;8.0;4.0;4.0;1;1
59744;1.0;1.0;DE;3.0;7.0;2.0;5.0;1;1.0;3.0;76.0;10.0;6.0;8.0;5.0;0.0;1;1
59747;3.0;1.0;DE;3.0;1.0;1.0;5.0;1;5.0;4.0;76.0;6.0;6.0;8.0;5.0;5.0;1;0
59783;3.0;2.0;DE;3.0;2.0;2.0;5.0;1;1.0;4.0;57.0;0.0;0.0;0.0;0.0;0.0;0;0
59789;3.0;1.0;DE;3.0;7.0;2.0;3.0;1;1.0;2.0;84.0;4.0;7.0;7.0;4.0;3.0;1;0
59800;1.0;1.0;DE;3.0;6.0;2.0;5.0;0;1.0;4.0;61.0;4.0;4.0;8.0;2.0;3.0;1;1
59817;3.0;1.0;DE;3.0;1.0;1.0;5.0;1;6.0;3.0;45.0;2.0;4.0;9.0;2.0;2.0;1;0
59820;1.0;1.0;DE;6.0;10.0;3.0;5.0;1;6.0;3.0;39.0;8.0;9.0;9.0;5.0;5.0;1;1
